Total Loss,Data Term Loss,Regularization Term Loss,Optic Axis Learning Rate,Birefringence Learning Rate
0.9669380187988281,0.04600585624575615,0.9209321737289429,0.019000000000000003,1.9e-05
0.955471932888031,0.04313408583402634,0.9123378396034241,0.028000000000000004,2.8000000000000003e-05
0.9428625106811523,0.03984684869647026,0.903015673160553,0.037,3.7e-05
0.9274600148200989,0.03585318475961685,0.8916068077087402,0.04600000000000001,4.600000000000001e-05
0.9087777137756348,0.03117823228240013,0.8775994777679443,0.05500000000000001,5.500000000000001e-05
0.8864576816558838,0.025717834010720253,0.8607398271560669,0.064,6.400000000000001e-05
0.8607629537582397,0.01983785443007946,0.8409250974655151,0.073,7.3e-05
0.8322135210037231,0.014055470004677773,0.8181580305099487,0.08200000000000002,8.200000000000001e-05
0.8014650940895081,0.00894551444798708,0.7925195693969727,0.09100000000000001,9.1e-05
0.7694793343544006,0.005330512300133705,0.7641488313674927,0.1,0.0001
