Iteration,birefringence active L2,birefringence active positive penalty
1,14.734808921813965,29458.525390625
2,14.657544136047363,29391.6171875
3,14.579238891601562,29328.84765625
4,14.489816665649414,29264.78125
5,14.388373374938965,29204.978515625
6,14.276007652282715,29158.3203125
7,14.153759956359863,29132.10546875
8,14.022207260131836,29128.501953125
9,13.8817777633667,29144.7109375
10,13.732998847961426,29175.921875
11,13.576581954956055,29217.376953125
12,13.426860809326172,29261.115234375
13,13.283397674560547,29304.482421875
14,13.146257400512695,29345.970703125
15,13.015664100646973,29384.41015625
16,12.8917236328125,29418.69921875
17,12.774303436279297,29447.552734375
18,12.663018226623535,29469.5390625
19,12.55729866027832,29483.27734375
20,12.456456184387207,29487.419921875
21,12.35975170135498,29480.91015625
22,12.266485214233398,29463.048828125
23,12.176033973693848,29433.5546875
24,12.087882995605469,29392.572265625
25,12.001646995544434,29340.626953125
26,11.917057037353516,29278.583984375
27,11.833962440490723,29207.556640625
28,11.752297401428223,29128.796875
29,11.6720609664917,29043.638671875
30,11.593303680419922,28953.40234375
31,11.516096115112305,28859.310546875
32,11.440528869628906,28762.482421875
33,11.36668872833252,28663.892578125
34,11.294668197631836,28564.361328125
35,11.224556922912598,28464.583984375
36,11.156436920166016,28365.130859375
37,11.09039306640625,28266.49609375
38,11.026509284973145,28169.109375
39,10.96487045288086,28073.359375
40,10.905572891235352,27979.619140625
41,10.848710060119629,27888.263671875
42,10.794386863708496,27799.669921875
43,10.742721557617188,27714.2578125
44,10.693839073181152,27632.466796875
45,10.647883415222168,27554.77734375
46,10.60501766204834,27481.736328125
47,10.565423965454102,27413.94140625
48,10.529319763183594,27352.07421875
49,10.496956825256348,27296.916015625
50,10.468635559082031,27249.37890625
51,10.444719314575195,27210.544921875
52,10.425639152526855,27181.708984375
53,10.41193675994873,27164.462890625
54,10.4042329788208,27160.7421875
55,10.40317153930664,27172.693359375
56,10.409228324890137,27202.212890625
57,10.422565460205078,27250.349609375
58,10.442893028259277,27316.60546875
59,10.46941089630127,27398.359375
60,10.501065254211426,27491.720703125
61,10.53691291809082,27593.62890625
62,10.576662063598633,27701.392578125
63,10.620176315307617,27814.2265625
64,10.667451858520508,27931.072265625
65,10.718485832214355,28050.98828125
66,10.773303031921387,28172.6015625
67,10.83194351196289,28293.46875
68,10.89416217803955,28410.822265625
69,10.958831787109375,28520.70703125
70,11.023561477661133,28620.0859375
71,11.086944580078125,28709.96875
72,11.150300025939941,28794.6015625
73,11.214756965637207,28877.16015625
74,11.280750274658203,28959.166015625
75,11.34837532043457,29041.30078125
76,11.41762924194336,29123.9375
77,11.488492012023926,29207.337890625
78,11.560931205749512,29291.708984375
79,11.634918212890625,29377.23046875
80,11.710427284240723,29464.0703125
81,11.787434577941895,29552.365234375
82,11.865922927856445,29642.24609375
83,11.945870399475098,29733.83203125
84,12.027266502380371,29827.20703125
85,12.110092163085938,29922.458984375
86,12.194336891174316,30019.65234375
87,12.279993057250977,30118.830078125
88,12.367049217224121,30220.046875
89,12.455500602722168,30323.322265625
90,12.545343399047852,30428.6875
91,12.636575698852539,30536.146484375
92,12.729199409484863,30645.7109375
93,12.82321548461914,30757.375
94,12.918632507324219,30871.14453125
95,13.015453338623047,30987.01171875
96,13.113686561584473,31104.962890625
97,13.213335037231445,31225.005859375
98,13.314403533935547,31347.14453125
99,13.41688346862793,31471.4140625
100,13.520750999450684,31597.86328125
